customer_id,name,city,purchase_amount,purchase_date,product_category,payment_method,rating
48,Customer_48,phoenix,1031.71,2022-01-02 23:00:00,books,credit card,2.0
49,Customer_49,phoenix,3657.89,2022-01-03 00:00:00,books,credit card,3.0
50,Customer_50,houston,1662.5,2022-01-03 01:00:00,electronics,cash,1.0
51,Customer_51,los angeles,2759.82,2022-01-03 02:00:00,electronics,cash,3.0
52,Customer_52,phoenix,1669.71,2022-01-03 03:00:00,clothing,paypal,5.0
53,Customer_53,houston,2592.35,2022-01-03 04:00:00,home,paypal,5.0
54,Customer_54,chicago,3953.46,2022-01-03 05:00:00,home,credit card,1.0
55,Customer_55,phoenix,3883.2,2022-01-03 06:00:00,clothing,cash,3.0
56,Customer_56,chicago,3581.43,2022-01-03 07:00:00,books,paypal,3.0
57,Customer_57,new york,2133.85,2022-01-03 08:00:00,home,paypal,3.0
58,Customer_58,los angeles,3833.42,2022-01-03 09:00:00,books,cash,1.0
59,Customer_59,phoenix,3845.15,2022-01-03 10:00:00,electronics,cash,5.0
60,Customer_60,los angeles,4168.73,2022-01-03 11:00:00,books,cash,4.0
61,Customer_61,los angeles,2966.55,2022-01-03 12:00:00,home,credit card,1.0
62,Customer_62,los angeles,1168.15,2022-01-03 13:00:00,books,paypal,2.0
63,Customer_63,phoenix,1020.6,2022-01-03 14:00:00,electronics,paypal,5.0
64,Customer_64,houston,4622.95,2022-01-03 15:00:00,home,cash,1.0
65,Customer_65,houston,1816.98,2022-01-03 16:00:00,books,cash,5.0
66,Customer_66,phoenix,2314.02,2022-01-03 17:00:00,clothing,cash,4.0
67,Customer_67,phoenix,4832.6,2022-01-03 18:00:00,electronics,credit card,2.0
68,Customer_68,chicago,3115.51,2022-01-03 19:00:00,clothing,cash,2.0
69,Customer_69,phoenix,3477.31,2022-01-03 20:00:00,books,credit card,3.0
70,Customer_70,houston,2872.14,2022-01-03 21:00:00,books,paypal,4.0
71,Customer_71,phoenix,3342.49,2022-01-03 22:00:00,home,paypal,4.0
72,Customer_72,los angeles,3369.3,2022-01-03 23:00:00,clothing,paypal,
73,Customer_73,phoenix,4687.02,2022-01-04 00:00:00,home,credit card,2.0
74,Customer_74,chicago,4419.87,2022-01-04 01:00:00,clothing,paypal,
75,Customer_75,los angeles,3895.58,2022-01-04 02:00:00,clothing,credit card,4.0
76,Customer_76,chicago,1644.15,2022-01-04 03:00:00,books,paypal,2.0
77,Customer_77,phoenix,666.81,2022-01-04 04:00:00,home,paypal,5.0
78,Customer_78,chicago,470.68,2022-01-04 05:00:00,home,credit card,5.0
79,Customer_79,phoenix,1210.65,2022-01-04 06:00:00,home,cash,5.0
80,Customer_80,chicago,1070.31,2022-01-04 07:00:00,home,paypal,2.0
81,Customer_81,houston,2531.895,2022-01-04 08:00:00,books,paypal,4.0
82,Customer_82,houston,394.93,2022-01-04 09:00:00,books,cash,5.0
83,Customer_83,chicago,3143.75,2022-01-04 10:00:00,clothing,cash,
84,Customer_84,chicago,3069.73,2022-01-04 11:00:00,clothing,paypal,5.0
85,Customer_85,houston,2469.38,2022-01-04 12:00:00,home,cash,
86,Customer_86,phoenix,959.12,2022-01-04 13:00:00,electronics,cash,3.0
87,Customer_87,houston,3386.87,2022-01-04 14:00:00,home,cash,
88,Customer_88,chicago,1412.55,2022-01-04 15:00:00,clothing,credit card,2.0
89,Customer_89,phoenix,4206.62,2022-01-04 16:00:00,home,cash,3.0
90,Customer_90,phoenix,1323.5,2022-01-04 17:00:00,clothing,paypal,2.0
91,Customer_91,new york,3925.74,2022-01-04 18:00:00,electronics,cash,3.0
92,Customer_92,los angeles,1100.02,2022-01-04 19:00:00,home,paypal,1.0
93,Customer_93,chicago,1658.08,2022-01-04 20:00:00,clothing,paypal,3.0
94,Customer_94,chicago,3936.51,2022-01-04 21:00:00,electronics,credit card,1.0
95,Customer_95,chicago,3961.39,2022-01-04 22:00:00,home,cash,3.0
96,Customer_96,phoenix,352.05,2022-01-04 23:00:00,electronics,credit card,5.0
97,Customer_97,unknown,906.5,2022-01-05 00:00:00,electronics,credit card,3.0
98,Customer_98,houston,1515.02,2022-01-05 01:00:00,books,cash,4.0
99,Customer_99,phoenix,2619.66,2022-01-05 02:00:00,home,paypal,3.0
100,Customer_100,los angeles,3126.04,2022-01-05 03:00:00,home,cash,3.0
101,Customer_101,chicago,877.46,2022-01-05 04:00:00,electronics,cash,2.0
102,Customer_102,phoenix,1500.21,2022-01-05 05:00:00,books,cash,2.0
103,Customer_103,phoenix,1702.89,2022-01-05 06:00:00,electronics,cash,2.0
104,Customer_104,phoenix,791.31,2022-01-05 07:00:00,clothing,credit card,5.0
105,Customer_105,los angeles,4242.11,2022-01-05 08:00:00,clothing,cash,2.0
106,Customer_106,new york,1898.85,2022-01-05 09:00:00,clothing,paypal,2.0
107,Customer_107,houston,3045.82,2022-01-05 10:00:00,electronics,credit card,5.0
108,Customer_108,phoenix,4818.35,2022-01-05 11:00:00,clothing,cash,1.0
109,Customer_109,phoenix,2624.59,2022-01-05 12:00:00,books,cash,5.0
110,Customer_110,new york,1140.59,2022-01-05 13:00:00,books,cash,2.0
111,Customer_111,new york,872.29,2022-01-05 14:00:00,electronics,paypal,1.0
112,Customer_112,houston,2159.53,2022-01-05 15:00:00,home,cash,4.0
113,Customer_113,chicago,907.68,2022-01-05 16:00:00,books,cash,4.0
114,Customer_114,phoenix,1935.88,2022-01-05 17:00:00,books,credit card,1.0
115,Customer_115,los angeles,4478.0,2022-01-05 18:00:00,books,credit card,4.0
116,Customer_116,new york,4438.23,2022-01-05 19:00:00,electronics,cash,3.0
117,Customer_117,phoenix,4160.76,2022-01-05 20:00:00,electronics,paypal,4.0
118,Customer_118,phoenix,186.58,2022-01-05 21:00:00,home,credit card,3.0
119,Customer_119,houston,2676.42,2022-01-05 22:00:00,electronics,cash,1.0
120,Customer_120,phoenix,1198.8,2022-01-05 23:00:00,clothing,cash,1.0
121,Customer_121,houston,2653.43,2022-01-06 00:00:00,clothing,cash,3.0
122,Customer_122,houston,717.63,2022-01-06 01:00:00,electronics,paypal,3.0
123,Customer_123,chicago,829.88,2022-01-06 02:00:00,electronics,paypal,4.0
124,Customer_124,houston,1403.38,2022-01-06 03:00:00,clothing,cash,4.0
125,Customer_125,phoenix,4255.14,2022-01-06 04:00:00,home,cash,2.0
126,Customer_126,phoenix,1923.58,2022-01-06 05:00:00,books,credit card,3.0
127,Customer_127,phoenix,855.32,2022-01-06 06:00:00,clothing,credit card,4.0
128,Customer_128,houston,4703.53,2022-01-06 07:00:00,books,cash,4.0
129,Customer_129,houston,2794.67,2022-01-06 08:00:00,electronics,credit card,
130,Customer_130,phoenix,816.6,2022-01-06 09:00:00,home,credit card,3.0
131,Customer_131,phoenix,1611.86,2022-01-06 10:00:00,electronics,paypal,1.0
132,Customer_132,los angeles,1533.85,2022-01-06 11:00:00,home,paypal,2.0
133,Customer_133,houston,366.21,2022-01-06 12:00:00,home,credit card,3.0
134,Customer_134,phoenix,3886.36,2022-01-06 13:00:00,home,paypal,3.0
135,Customer_135,phoenix,2495.19,2022-01-06 14:00:00,electronics,cash,
136,Customer_136,houston,1634.16,2022-01-06 15:00:00,clothing,credit card,1.0
137,Customer_137,unknown,4158.74,2022-01-06 16:00:00,home,cash,3.0
138,Customer_138,new york,311.95,2022-01-06 17:00:00,clothing,paypal,3.0
139,Customer_139,new york,2980.5,2022-01-06 18:00:00,electronics,cash,5.0
140,Customer_140,new york,3964.55,2022-01-06 19:00:00,electronics,paypal,5.0
141,Customer_141,phoenix,1038.41,2022-01-06 20:00:00,electronics,paypal,4.0
142,Customer_142,phoenix,3924.89,2022-01-06 21:00:00,clothing,credit card,5.0
143,Customer_143,phoenix,3008.4,2022-01-06 22:00:00,clothing,paypal,3.0
144,Customer_144,chicago,3526.69,2022-01-06 23:00:00,home,credit card,4.0
145,Customer_145,chicago,4738.11,2022-01-07 00:00:00,home,cash,5.0
146,Customer_146,phoenix,601.29,2022-01-07 01:00:00,books,paypal,5.0
147,Customer_147,phoenix,4093.38,2022-01-07 02:00:00,books,paypal,2.0
148,Customer_148,houston,1784.38,2022-01-07 03:00:00,electronics,paypal,4.0
149,Customer_149,los angeles,3938.52,2022-01-07 04:00:00,books,paypal,5.0
150,Customer_150,chicago,2939.99,2022-01-07 05:00:00,clothing,paypal,3.0
151,Customer_151,chicago,4842.23,2022-01-07 06:00:00,books,credit card,1.0
152,Customer_152,new york,3688.2,2022-01-07 07:00:00,clothing,paypal,
153,Customer_153,los angeles,3566.53,2022-01-07 08:00:00,clothing,credit card,5.0
154,Customer_154,phoenix,2817.8,2022-01-07 09:00:00,electronics,paypal,3.0
155,Customer_155,chicago,2296.5,2022-01-07 10:00:00,books,credit card,4.0
156,Customer_156,los angeles,4774.59,2022-01-07 11:00:00,clothing,cash,5.0
157,Customer_157,houston,4733.21,2022-01-07 12:00:00,clothing,credit card,4.0
158,Customer_158,los angeles,1218.75,2022-01-07 13:00:00,electronics,paypal,3.0
159,Customer_159,phoenix,3451.89,2022-01-07 14:00:00,home,cash,4.0
160,Customer_160,los angeles,2576.04,2022-01-07 15:00:00,clothing,cash,1.0
161,Customer_161,chicago,2696.61,2022-01-07 16:00:00,home,cash,5.0
162,Customer_162,chicago,2898.89,2022-01-07 17:00:00,electronics,credit card,2.0
163,Customer_163,phoenix,2087.79,2022-01-07 18:00:00,clothing,paypal,4.0
164,Customer_164,chicago,191.72,2022-01-07 19:00:00,home,paypal,3.0
165,Customer_165,new york,3970.79,2022-01-07 20:00:00,home,credit card,3.0
166,Customer_166,new york,1375.85,2022-01-07 21:00:00,home,cash,4.0
167,Customer_167,houston,3786.12,2022-01-07 22:00:00,electronics,credit card,2.0
168,Customer_168,phoenix,4574.5,2022-01-07 23:00:00,electronics,credit card,2.0
169,Customer_169,chicago,816.85,2022-01-08 00:00:00,electronics,credit card,2.0
170,Customer_170,los angeles,780.42,2022-01-08 01:00:00,home,paypal,4.0
171,Customer_171,houston,1434.4,2022-01-08 02:00:00,clothing,cash,
172,Customer_172,new york,3288.35,2022-01-08 03:00:00,books,cash,2.0
173,Customer_173,new york,4642.1,2022-01-08 04:00:00,electronics,credit card,3.0
174,Customer_174,new york,882.01,2022-01-08 05:00:00,clothing,cash,2.0
175,Customer_175,los angeles,4727.57,2022-01-08 06:00:00,home,paypal,3.0
176,Customer_176,houston,1418.47,2022-01-08 07:00:00,electronics,cash,4.0
177,Customer_177,phoenix,370.37,2022-01-08 08:00:00,electronics,credit card,3.0
178,Customer_178,chicago,1562.7,2022-01-08 09:00:00,books,cash,5.0
179,Customer_179,los angeles,1815.8,2022-01-08 10:00:00,books,credit card,1.0
180,Customer_180,new york,2783.27,2022-01-08 11:00:00,electronics,paypal,3.0
181,Customer_181,new york,4046.78,2022-01-08 12:00:00,books,paypal,2.0
182,Customer_182,houston,3802.31,2022-01-08 13:00:00,home,cash,1.0
183,Customer_183,phoenix,4390.98,2022-01-08 14:00:00,home,paypal,4.0
184,Customer_184,los angeles,1374.78,2022-01-08 15:00:00,electronics,paypal,4.0
185,Customer_185,chicago,2613.21,2022-01-08 16:00:00,books,paypal,3.0
186,Customer_186,chicago,2910.75,2022-01-08 17:00:00,electronics,cash,4.0
187,Customer_187,los angeles,4967.69,2022-01-08 18:00:00,electronics,cash,4.0
188,Customer_188,los angeles,1619.49,2022-01-08 19:00:00,clothing,cash,3.0
189,Customer_189,chicago,248.97,2022-01-08 20:00:00,home,cash,1.0
190,Customer_190,phoenix,4884.77,2022-01-08 21:00:00,books,paypal,3.0
191,Customer_191,chicago,2681.74,2022-01-08 22:00:00,home,paypal,3.0
192,Customer_192,chicago,1559.54,2022-01-08 23:00:00,clothing,cash,2.0
193,Customer_193,phoenix,4409.93,2022-01-09 00:00:00,electronics,cash,4.0
194,Customer_194,los angeles,3906.03,2022-01-09 01:00:00,electronics,paypal,2.0
195,Customer_195,houston,2338.8,2022-01-09 02:00:00,electronics,cash,2.0
196,Customer_196,chicago,1790.17,2022-01-09 03:00:00,clothing,paypal,5.0
197,Customer_197,chicago,4570.46,2022-01-09 04:00:00,electronics,cash,2.0
198,Customer_198,los angeles,2418.97,2022-01-09 05:00:00,electronics,cash,1.0
199,Customer_199,los angeles,2452.36,2022-01-09 06:00:00,clothing,paypal,2.0
200,Customer_200,los angeles,584.8,2022-01-09 07:00:00,electronics,cash,5.0
201,Customer_201,los angeles,3617.07,2022-01-09 08:00:00,clothing,paypal,2.0
202,Customer_202,new york,4714.32,2022-01-09 09:00:00,electronics,paypal,5.0
203,Customer_203,chicago,2750.25,2022-01-09 10:00:00,home,cash,2.0
204,Customer_204,chicago,4639.29,2022-01-09 11:00:00,books,credit card,1.0
205,Customer_205,chicago,3584.95,2022-01-09 12:00:00,electronics,paypal,4.0
206,Customer_206,new york,2611.6,2022-01-09 13:00:00,home,paypal,4.0
207,Customer_207,phoenix,4974.69,2022-01-09 14:00:00,books,cash,5.0
208,Customer_208,los angeles,4955.75,2022-01-09 15:00:00,home,credit card,4.0
209,Customer_209,phoenix,3758.33,2022-01-09 16:00:00,home,paypal,5.0
210,Customer_210,houston,301.51,2022-01-09 17:00:00,clothing,cash,5.0
211,Customer_211,new york,4446.74,2022-01-09 18:00:00,books,credit card,5.0
212,Customer_212,new york,4761.94,2022-01-09 19:00:00,clothing,paypal,1.0
213,Customer_213,new york,487.75,2022-01-09 20:00:00,electronics,cash,
214,Customer_214,new york,2495.31,2022-01-09 21:00:00,home,paypal,4.0
215,Customer_215,phoenix,3731.61,2022-01-09 22:00:00,home,credit card,5.0
216,Customer_216,los angeles,3256.11,2022-01-09 23:00:00,electronics,credit card,1.0
217,Customer_217,los angeles,3486.54,2022-01-10 00:00:00,home,credit card,4.0
218,Customer_218,new york,4904.81,2022-01-10 01:00:00,electronics,credit card,4.0
219,Customer_219,phoenix,3069.61,2022-01-10 02:00:00,electronics,paypal,3.0
220,Customer_220,houston,2615.62,2022-01-10 03:00:00,clothing,credit card,2.0
221,Customer_221,los angeles,3786.65,2022-01-10 04:00:00,clothing,credit card,3.0
222,Customer_222,phoenix,3275.42,2022-01-10 05:00:00,home,credit card,4.0
223,Customer_223,new york,848.75,2022-01-10 06:00:00,home,paypal,5.0
224,Customer_224,houston,3058.98,2022-01-10 07:00:00,home,cash,3.0
225,Customer_225,los angeles,135.39,2022-01-10 08:00:00,home,paypal,3.0
226,Customer_226,chicago,2118.39,2022-01-10 09:00:00,clothing,credit card,3.0
227,Customer_227,houston,1331.44,2022-01-10 10:00:00,books,credit card,5.0
228,Customer_228,los angeles,667.29,2022-01-10 11:00:00,books,credit card,2.0
229,Customer_229,new york,1330.77,2022-01-10 12:00:00,clothing,paypal,5.0
230,Customer_230,los angeles,2051.7,2022-01-10 13:00:00,home,credit card,3.0
231,Customer_231,houston,1408.02,2022-01-10 14:00:00,electronics,cash,5.0
232,Customer_232,houston,2233.82,2022-01-10 15:00:00,electronics,credit card,2.0
233,Customer_233,new york,2296.24,2022-01-10 16:00:00,clothing,credit card,3.0
234,Customer_234,new york,3398.32,2022-01-10 17:00:00,home,cash,3.0
235,Customer_235,houston,1690.09,2022-01-10 18:00:00,books,paypal,4.0
236,Customer_236,phoenix,2233.26,2022-01-10 19:00:00,home,credit card,4.0
237,Customer_237,chicago,2370.27,2022-01-10 20:00:00,books,cash,
238,Customer_238,phoenix,3642.67,2022-01-10 21:00:00,books,credit card,4.0
239,Customer_239,chicago,2024.91,2022-01-10 22:00:00,home,paypal,5.0
240,Customer_240,chicago,1739.55,2022-01-10 23:00:00,home,paypal,2.0
241,Customer_241,phoenix,1654.0,2022-01-11 00:00:00,clothing,cash,5.0
242,Customer_242,houston,3094.1,2022-01-11 01:00:00,home,cash,1.0
243,Customer_243,phoenix,1434.38,2022-01-11 02:00:00,home,paypal,3.0
244,Customer_244,phoenix,3766.95,2022-01-11 03:00:00,electronics,cash,3.0
245,Customer_245,houston,435.55,2022-01-11 04:00:00,electronics,cash,4.0
246,Customer_246,phoenix,3774.2,2022-01-11 05:00:00,books,cash,3.0
247,Customer_247,houston,3833.6,2022-01-11 06:00:00,clothing,credit card,5.0
248,Customer_248,los angeles,1431.67,2022-01-11 07:00:00,home,credit card,1.0
249,Customer_249,new york,4966.18,2022-01-11 08:00:00,home,cash,3.0
250,Customer_250,phoenix,575.84,2022-01-11 09:00:00,electronics,paypal,2.0
251,Customer_251,chicago,3383.73,2022-01-11 10:00:00,books,credit card,1.0
252,Customer_252,houston,2470.89,2022-01-11 11:00:00,books,credit card,2.0
253,Customer_253,houston,2783.6,2022-01-11 12:00:00,clothing,paypal,1.0
254,Customer_254,phoenix,507.11,2022-01-11 13:00:00,clothing,paypal,2.0
255,Customer_255,new york,1739.45,2022-01-11 14:00:00,clothing,credit card,5.0
256,Customer_256,new york,482.08,2022-01-11 15:00:00,clothing,cash,2.0
257,Customer_257,new york,3334.09,2022-01-11 16:00:00,clothing,credit card,1.0
258,Customer_258,chicago,1065.23,2022-01-11 17:00:00,electronics,credit card,5.0
259,Customer_259,chicago,4797.41,2022-01-11 18:00:00,books,cash,2.0
260,Customer_260,los angeles,473.58,2022-01-11 19:00:00,electronics,credit card,5.0
261,Customer_261,chicago,3767.1,2022-01-11 20:00:00,books,credit card,4.0
262,Customer_262,los angeles,118.88,2022-01-11 21:00:00,electronics,credit card,5.0
263,Customer_263,chicago,1063.99,2022-01-11 22:00:00,electronics,cash,3.0
264,Customer_264,los angeles,2702.26,2022-01-11 23:00:00,clothing,paypal,2.0
265,Customer_265,unknown,1376.14,2022-01-12 00:00:00,electronics,credit card,3.0
266,Customer_266,new york,3859.66,2022-01-12 01:00:00,home,paypal,3.0
267,Customer_267,los angeles,4002.69,2022-01-12 02:00:00,clothing,cash,2.0
268,Customer_268,houston,2403.07,2022-01-12 03:00:00,books,paypal,4.0
269,Customer_269,chicago,4012.35,2022-01-12 04:00:00,clothing,credit card,5.0
270,Customer_270,los angeles,1224.84,2022-01-12 05:00:00,clothing,cash,3.0
271,Customer_271,new york,4720.39,2022-01-12 06:00:00,clothing,paypal,3.0
272,Customer_272,phoenix,4594.12,2022-01-12 07:00:00,electronics,credit card,3.0
273,Customer_273,los angeles,2217.71,2022-01-12 08:00:00,books,cash,4.0
274,Customer_274,new york,1558.88,2022-01-12 09:00:00,books,credit card,4.0
275,Customer_275,phoenix,1178.14,2022-01-12 10:00:00,electronics,credit card,3.0
276,Customer_276,new york,654.68,2022-01-12 11:00:00,home,credit card,3.0
277,Customer_277,chicago,3298.17,2022-01-12 12:00:00,electronics,paypal,1.0
278,Customer_278,chicago,3957.45,2022-01-12 13:00:00,books,paypal,3.0
279,Customer_279,phoenix,182.87,2022-01-12 14:00:00,clothing,paypal,4.0
280,Customer_280,chicago,622.37,2022-01-12 15:00:00,clothing,credit card,2.0
281,Customer_281,los angeles,300.95,2022-01-12 16:00:00,electronics,cash,5.0
282,Customer_282,chicago,3422.2,2022-01-12 17:00:00,books,credit card,3.0
283,Customer_283,new york,560.77,2022-01-12 18:00:00,clothing,cash,2.0
284,Customer_284,los angeles,1712.77,2022-01-12 19:00:00,books,credit card,4.0
285,Customer_285,houston,3186.42,2022-01-12 20:00:00,electronics,cash,5.0
286,Customer_286,houston,4790.5,2022-01-12 21:00:00,home,paypal,3.0
287,Customer_287,phoenix,3788.85,2022-01-12 22:00:00,books,cash,2.0
288,Customer_288,los angeles,4821.94,2022-01-12 23:00:00,home,credit card,3.0
289,Customer_289,houston,3756.98,2022-01-13 00:00:00,home,credit card,5.0
290,Customer_290,chicago,2044.82,2022-01-13 01:00:00,home,cash,4.0
291,Customer_291,new york,3894.21,2022-01-13 02:00:00,books,paypal,1.0
292,Customer_292,phoenix,4421.94,2022-01-13 03:00:00,books,paypal,1.0
293,Customer_293,los angeles,1605.68,2022-01-13 04:00:00,electronics,paypal,5.0
294,Customer_294,phoenix,507.03,2022-01-13 05:00:00,home,cash,2.0
295,Customer_295,new york,250.89,2022-01-13 06:00:00,home,cash,2.0
296,Customer_296,new york,4475.35,2022-01-13 07:00:00,books,paypal,4.0
297,Customer_297,new york,4189.07,2022-01-13 08:00:00,electronics,credit card,3.0
298,Customer_298,houston,4083.13,2022-01-13 09:00:00,home,paypal,3.0
299,Customer_299,houston,2791.87,2022-01-13 10:00:00,electronics,credit card,3.0
300,Customer_300,los angeles,4496.09,2022-01-13 11:00:00,home,cash,4.0
301,Customer_301,new york,569.31,2022-01-13 12:00:00,books,paypal,4.0
302,Customer_302,houston,1537.68,2022-01-13 13:00:00,electronics,credit card,3.0
303,Customer_303,new york,2862.6,2022-01-13 14:00:00,electronics,paypal,2.0
304,Customer_304,los angeles,2338.73,2022-01-13 15:00:00,books,paypal,4.0
305,Customer_305,chicago,4357.17,2022-01-13 16:00:00,electronics,credit card,2.0
306,Customer_306,phoenix,4194.7,2022-01-13 17:00:00,home,paypal,
307,Customer_307,chicago,1653.57,2022-01-13 18:00:00,clothing,cash,1.0
308,Customer_308,phoenix,4138.66,2022-01-13 19:00:00,electronics,paypal,3.0
309,Customer_309,houston,774.06,2022-01-13 20:00:00,clothing,cash,4.0
310,Customer_310,unknown,3115.07,2022-01-13 21:00:00,home,cash,4.0
311,Customer_311,phoenix,4203.81,2022-01-13 22:00:00,clothing,paypal,5.0
312,Customer_312,new york,290.91,2022-01-13 23:00:00,books,credit card,5.0
313,Customer_313,los angeles,4729.28,2022-01-14 00:00:00,clothing,cash,5.0
314,Customer_314,houston,1347.06,2022-01-14 01:00:00,home,paypal,1.0
315,Customer_315,chicago,300.33,2022-01-14 02:00:00,books,paypal,5.0
316,Customer_316,phoenix,921.33,2022-01-14 03:00:00,books,paypal,5.0
317,Customer_317,phoenix,3352.62,2022-01-14 04:00:00,clothing,cash,4.0
318,Customer_318,chicago,180.15,2022-01-14 05:00:00,clothing,cash,3.0
319,Customer_319,phoenix,3288.22,2022-01-14 06:00:00,books,paypal,3.0
320,Customer_320,new york,2194.6,2022-01-14 07:00:00,clothing,credit card,4.0
321,Customer_321,los angeles,4225.49,2022-01-14 08:00:00,books,credit card,4.0
322,Customer_322,new york,2611.35,2022-01-14 09:00:00,electronics,credit card,2.0
323,Customer_323,new york,4495.0,2022-01-14 10:00:00,books,credit card,5.0
324,Customer_324,new york,2920.7,2022-01-14 11:00:00,clothing,paypal,
325,Customer_325,houston,740.96,2022-01-14 12:00:00,books,paypal,4.0
326,Customer_326,phoenix,3270.6,2022-01-14 13:00:00,home,credit card,1.0
327,Customer_327,chicago,179.69,2022-01-14 14:00:00,home,credit card,4.0
328,Customer_328,phoenix,1897.43,2022-01-14 15:00:00,electronics,credit card,1.0
329,Customer_329,houston,3119.23,2022-01-14 16:00:00,electronics,cash,1.0
330,Customer_330,phoenix,1563.38,2022-01-14 17:00:00,electronics,cash,3.0
331,Customer_331,chicago,3425.45,2022-01-14 18:00:00,electronics,cash,4.0
332,Customer_332,los angeles,3211.66,2022-01-14 19:00:00,clothing,credit card,5.0
333,Customer_333,houston,2492.47,2022-01-14 20:00:00,books,credit card,2.0
334,Customer_334,los angeles,3237.03,2022-01-14 21:00:00,books,credit card,4.0
335,Customer_335,houston,2962.73,2022-01-14 22:00:00,electronics,paypal,4.0
336,Customer_336,los angeles,1664.78,2022-01-14 23:00:00,home,cash,4.0
337,Customer_337,new york,651.66,2022-01-15 00:00:00,clothing,credit card,3.0
338,Customer_338,chicago,1216.13,2022-01-15 01:00:00,books,credit card,1.0
339,Customer_339,phoenix,2284.29,2022-01-15 02:00:00,home,paypal,5.0
340,Customer_340,houston,3175.14,2022-01-15 03:00:00,electronics,paypal,3.0
341,Customer_341,phoenix,3113.08,2022-01-15 04:00:00,books,paypal,3.0
342,Customer_342,houston,3416.83,2022-01-15 05:00:00,electronics,credit card,3.0
343,Customer_343,new york,3350.87,2022-01-15 06:00:00,books,cash,1.0
344,Customer_344,los angeles,4746.51,2022-01-15 07:00:00,books,paypal,3.0
